iter	Passed	Remaining
829	1783	365
830	1785	363
831	1787	360
832	1789	358
833	1791	356
834	1793	354
835	1800	353
836	1802	350
837	1804	348
838	1806	346
839	1808	344
840	1810	342
841	1812	340
842	1814	337
843	1816	335
844	1817	333
845	1819	331
846	1821	329
847	1823	326
848	1825	324
849	1827	322
850	1829	320
851	1831	318
852	1833	315
853	1836	314
854	1838	311
855	1840	309
856	1842	307
857	1844	305
858	1846	303
859	1848	300
860	1850	298
861	1851	296
862	1856	294
863	1858	292
864	1861	290
865	1863	288
866	1865	286
867	1867	284
868	1869	281
869	1871	279
870	1873	277
871	1875	275
872	1877	273
873	1879	270
874	1881	268
875	1883	266
876	1885	264
877	1887	262
878	1889	260
879	1891	257
880	1893	255
881	1895	253
882	1897	251
883	1900	249
884	1902	247
885	1905	245
886	1908	243
887	1912	241
888	1914	239
889	1916	236
890	1919	234
891	1921	232
892	1923	230
893	1926	228
894	1928	226
895	1930	224
896	1932	221
897	1934	219
898	1936	217
899	1939	215
900	1943	213
901	1946	211
902	1948	209
903	1950	207
904	1952	204
905	1954	202
906	1956	200
907	1958	198
908	1960	196
909	1962	194
910	1964	191
911	1966	189
912	1968	187
913	1970	185
914	1972	183
915	1975	181
916	1977	178
917	1979	176
918	1980	174
919	1982	172
920	1984	170
921	1987	168
922	1989	165
923	1991	163
924	1993	161
925	1995	159
926	1997	157
927	1999	155
928	2001	152
929	2003	150
930	2004	148
931	2007	146
932	2009	144
933	2012	142
934	2014	140
935	2016	137
936	2019	135
937	2021	133
938	2023	131
939	2025	129
940	2028	127
941	2030	125
942	2032	122
943	2034	120
944	2036	118
945	2038	116
946	2040	114
947	2043	112
948	2045	109
949	2047	107
950	2048	105
951	2051	103
952	2052	101
953	2054	99
954	2056	96
955	2058	94
956	2060	92
957	2062	90
958	2064	88
959	2066	86
960	2068	83
961	2070	81
962	2072	79
963	2073	77
964	2077	75
965	2079	73
966	2081	71
967	2083	68
968	2086	66
969	2089	64
970	2091	62
971	2093	60
972	2095	58
973	2097	55
974	2099	53
975	2101	51
976	2103	49
977	2105	47
978	2107	45
979	2109	43
980	2111	40
981	2113	38
982	2115	36
983	2117	34
984	2119	32
985	2121	30
986	2123	27
987	2125	25
988	2127	23
989	2129	21
990	2131	19
991	2133	17
992	2135	15
993	2137	12
994	2139	10
995	2141	8
996	2143	6
997	2145	4
998	2147	2
999	2149	0
