iter	Logloss
0	0.6802670542
1	0.6685036193
2	0.6583639996
3	0.6486373125
4	0.6370681028
5	0.6263532429
6	0.61491584
7	0.6031016386
8	0.5921064284
9	0.5817440396
10	0.570883298
11	0.5608040676
12	0.5511935679
13	0.5413263888
14	0.5326315568
15	0.5235075155
16	0.5140191822
17	0.5059968779
18	0.4971633324
19	0.4895033971
20	0.4822614589
21	0.4737937084
22	0.4653728802
23	0.4584946241
24	0.4505955732
25	0.4433255924
26	0.4364185551
27	0.4306519844
28	0.4233401754
29	0.4162756521
30	0.4100447442
31	0.4042608499
32	0.3985686099
33	0.3924921428
34	0.3869127104
35	0.3814650977
36	0.3763070338
37	0.3710444555
38	0.3663663781
39	0.3608786445
40	0.3559890619
41	0.3514868558
42	0.3465653566
43	0.3418154786
44	0.337279588
45	0.3329729746
46	0.3283511295
47	0.3240986163
48	0.319691387
49	0.31532016
50	0.3111293681
51	0.3080455344
52	0.3039871679
53	0.3003911476
54	0.2961660991
55	0.2920735102
56	0.2881140335
57	0.284625442
58	0.2810268943
59	0.2781175566
60	0.2756386064
61	0.2732868015
62	0.270528496
63	0.2675891262
64	0.264975107
65	0.2620055093
66	0.2591691237
67	0.2564850815
68	0.2538841862
69	0.251153723
70	0.2484211496
71	0.246028422
72	0.2435778087
73	0.2411950832
74	0.2389915579
75	0.2370859365
76	0.2342202124
77	0.2318787298
78	0.2301796494
79	0.2277928571
80	0.225721038
81	0.2239059367
82	0.2224306596
83	0.220431164
84	0.2181134742
85	0.2162088223
86	0.2143060191
87	0.2126912911
88	0.2112027613
89	0.2093002213
90	0.2074653044
91	0.2052578063
92	0.2034079715
93	0.2016678125
94	0.200174625
95	0.1983729314
96	0.1965182857
97	0.1953563076
98	0.1937791498
99	0.1924984242
100	0.1907794757
101	0.1894846122
102	0.1879900551
103	0.1867425042
104	0.1853350149
105	0.184165209
106	0.1830779061
107	0.1816709223
108	0.1804674398
109	0.1792069021
110	0.1778406185
111	0.1763919051
112	0.1754270959
113	0.1744185115
114	0.1734891608
115	0.1723476901
116	0.1710455708
117	0.1699407196
118	0.1691259452
119	0.1681473539
120	0.1668956266
121	0.1657308511
122	0.1645187625
123	0.163266388
124	0.1624991278
125	0.1614654671
126	0.1603168413
127	0.1593241037
128	0.1584593793
129	0.1571442399
130	0.1563513109
131	0.1555367956
132	0.1547352144
133	0.1540212013
134	0.1531628884
135	0.1522937823
136	0.1515199826
137	0.1507574974
138	0.150204662
139	0.1492384069
140	0.1480439023
141	0.1475459307
142	0.1468423497
143	0.1462556497
144	0.1454627964
145	0.1447223543
146	0.1437624621
147	0.1430488716
148	0.1424022753
149	0.1416061026
150	0.140746981
151	0.1401095532
152	0.1394816916
153	0.1388191545
154	0.1381999978
155	0.137381083
156	0.1368111052
157	0.1361440422
158	0.1355248404
159	0.134929859
160	0.134342597
161	0.1336749495
162	0.1330244428
163	0.1324325594
164	0.1318818409
165	0.1313047112
166	0.130671658
167	0.1302566881
168	0.1297294004
169	0.1292804155
170	0.1287547353
171	0.1281339552
172	0.1275082641
173	0.1271896258
174	0.126767354
175	0.1261384919
176	0.1257292448
177	0.125213317
178	0.124857407
179	0.1244704682
180	0.1239179569
181	0.1234655449
182	0.123016529
183	0.1225395952
